Drug_Name,Indication
Dyphylline,For relief of acute bronchial asthma and for reversible bronchospasm associated with chronic bronchitis and emphysema.
"Ebola Zaire vaccine (live, attenuated)","Ebola Zaire vaccine is indicated for active immunization of individuals 12 months of age or older to protect against Ebola Virus Disease (EVD) caused by _Zaire Ebolavirus_.[L10857,L47646]"
Ecallantide,Indicated for the symptomatic treatment of acute attacks of hereditary angioedema (HAE) in patients 12 years of age and older [FDA Label].
Ecamsule,Applied topically to filter out UVA rays.
Echothiophate,For use in the treatment of subacute or chronic angle-closure glaucoma after iridectomy or where surgery is refused or contraindicated.
Econazole,"For topical application in the treatment of tinea pedis, tinea cruris, and tinea corporis caused by <i>Trichophyton rubrum</i>, <i>Trichophyton mentagrophytes</i>, <i>Trichophyton tonsurans</i>, <i>Microsporum canis</i>, <i>Microsporum audouini</i>, <i>Microsporum gypseum</i>, and <i>Epidermophyton floccosum</i>, in the treatment of cutaneous candidiasis, and in the treatment of tinea versicolor."
Eculizumab,"Eculizumab is indicated in the US to treat paroxysmal nocturnal hemoglobinuria (PNH) to reduce hemolysis, atypical hemolytic uremic syndrome to inhibit complement-mediated thrombotic microangiopathy, and neuromyelitis optica spectrum disorder (NMOSD).[L6916,A2246] It is also indicated in EU to treat PNH in both adult and pediatric patients.[L46866]"
Edaravone,"Edaravone is indicated for the treatment of amyotrophic lateral sclerosis (ALS) in the US and Canada.[L41810,L43952] It is also indicated to treat acute ischemic stroke in Japan.[A19140,A19141,L44007]"
Edetate calcium disodium anhydrous,Edetate calcium disodium is indicated to reduce blood levels and depot stores of lead in acute and chronic lead poisoning.[L12774]
Edetate disodium anhydrous,Edetate disodium is indicated for emergency treatment of hypercalcemia and digitalis toxicity associated ventricular arrhythmias.[L14222]
Edetic acid,"For the reduction of blood levels and depot stores of lead in lead poisoning (acute and chronic) and lead encephalopathy, in both pediatric populations and adults."
Edotreotide gallium Ga-68,Edotreotide gallium Ga-68 is a radioactive diagnostic compound used in positron emission tomography (PET) for diagnose somatostatin receptor positive neuroendocrine tumors in pediatrics and adults.[L8597]
Edoxaban,"Edoxaban is indicated for reducing the risk of stroke and systemic embolism (SE) in patients with nonvalvular atrial fibrillation (NVAF). However, it should not be used in patients with creatinine clearance (CrCL) > 95 mL/min because of increased risk of ischemic stroke compared to warfarin at the highest dose studied (60 mg). It is also indicated for the treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE) following 5-10 days of initial therapy with a parenteral anticoagulant."
Edoxudine,"Edoxudine was used in Europe, in the form of a topical antiviral, for the treatment of human herpes keratitis.[A32643] Human herpes keratitis is an inflammation of the cornea in the eye caused by herpes simplex virus infection. This infection is a cause of significant morbidity whose incidence is significantly increased in the presence of recurrent infection and it can even produce corneal blindness.[A32645] Edoxudine 3% cream was also indicated for the treatment of dermal herpes simplex virus.[A32643] This virus can produce an infection ubiquitously and it is highly contagious. There are two types of herpes virus, type 1 that is mainly transmitted by oral-to-oral contact and type 2 that is sexually transmitted.[L2411]"
Edrophonium,For the differential diagnosis of myasthenia gravis and as an adjunct in the evaluation of treatment requirements in this disease. It may also be used for evaluating emergency treatment in myasthenic crises.
Efalizumab,"For the treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy."
Efanesoctocog alfa,"Efanesoctocog alfa is indicated for use in adults and children with hemophilia A (congenital factor VIII deficiency) for routine prophylaxis to reduce the frequency of bleeding episodes, on-demand treatment and control of bleeding episodes, and perioperative management of bleeding.[L45379]"
Efavirenz,For use in combination treatment of HIV infection (AIDS)
Efbemalenograstim alfa,"Efbemalenograstim alfa is indicated to decrease the incidence of infection, as manifested by febrile neutropenia, in adult patients with non-myeloid malignancies receiving myelosuppressive anti-cancer drugs associated with clinically significant incidence of febrile neutropenia.[L48852]"
Efgartigimod alfa,"Efgartigimod alfa - delivered intravenously as a monotherapy or subcutaneously in combination with [recombinant human hyaluronidase] - is indicated for the treatment of generalized myasthenia gravis in adult patients who are anti-acetylcholine receptor antibody-positive.[L39496,L43185,L49761] In combination with recombinant human hyaluronidase, it is also indicated for the treatment of adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP).[L47001]"
Efinaconazole,"Indicated in the treatment of fungal infection of the nail, known as onychomycosis."
Eflapegrastim,"Eflapegrastim is indicated to decrease the incidence of infection, as manifested by febrile neutropenia, in adult patients with non-myeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a clinically significant incidence of febrile neutropenia.[L43135]"
Eflornithine,"Eflornithine is indicated to reduce the risk of relapse in adult and pediatric patients with high-risk neuroblastoma (HRNB) who have demonstrated at least a partial response to prior multiagent, multimodality therapy including anti-GD2 immunotherapy.[L49288] It was also previously indicated for the treatment of female hirsutism and African trypanosomiasis but has since been discontinued.[L49318]"
Efmoroctocog alfa,Indicated for the treatment and prophylaxis of bleeding in patients with haemophilia A (congenital factor VIII deficiency) [FDA Label].
Eftrenonacog alfa,Indicated for the treatment and prophylaxis of bleeding in patients of all age with haemophilia B (congenital factor IX deficiency).
Egg phospholipids,For use as a source of calories for patients requiring parenteral nutrition.
Elacestrant,"Elacestrant is indicated for the treatment of postmenopausal women or adult men with ER-positive, HER2-negative, ESR1-mutated advanced or metastatic breast cancer with disease progression following at least one line of endocrine therapy.[L44918] Elacestrant is indicated for the same in the EU, with an additional requirement that patients trial a CDK 4/6 inhibitor as a prior line of therapy.[L49329]"
Eladocagene exuparvovec,"In the EU, eladocagene exuparvovec is indicated for the treatment of patients aged 18 months and older with a clinical, molecular, and genetically confirmed diagnosis of aromatic L-amino acid decarboxylase (AADC) deficiency with a severe phenotype.[L43642] In the US, it is indicated for the treatment of adult and pediatric patients with AADC deficiency.[L51893]"
Elafibranor,"Elafibranor is indicated for the treatment of primary biliary cholangitis (PBC) in combination with [ursodeoxycholic acid] (UDCA) in adults who have had an inadequate response to UDCA, or as monotherapy in patients unable to tolerate UDCA.[L50768, L51873] In the US, this indication is approved under accelerated approval and is subject to change based on the determined clinical benefit of the drug in future confirmatory trials.[L50768]"
Elagolix,Elagolix is a gonadotropin-releasing hormone (GnRH) receptor antagonist indicated for the management of moderate to severe pain associated with endometriosis [FDA Label].
